Evento,Data/Hora,Descrição,Usuário,Documentos
12,17/06/2025 15:46:35,Expedida/certificada a intimação eletrônica Refer. ao Evento 11 (EXEQUENTE - MUNICÍPIO DE SARANDI / RS) Prazo: 60 dias Status:AGUARD. ABERTURA Domicílio Judicial Eletrônico: Enviado em 17/06/2025 15:55:00,"arossatto
ANDREIA DOS SANTOS ROSSATTO
MAGISTRADO
Vara Judicial da Comarca de Sarandi",
10,02/06/2025 18:49:29,Conclusos para decisão/despacho,"jlrossoni
JOSE LUIZ ROSSONI
SERVIDOR DE SECRETARIA (VARA)
Vara Judicial da Comarca de Sarandi",
8,15/03/2025 20:48:02,Juntada de certidão - alteração do prazo - 25/03/2025 até 27/03/2025 - Motivo: SUSPENSÃO DE PRAZOS - Ato n. 41/2025-CGJ,"prs.adm
PRISCILLA RODRIGUES DA SILVEIRA
ADMINISTRADOR DO SISTEMA",
7,21/01/2025 22:56:45,Juntada de certidão - alteração do prazo - Motivo: FERIADO NACIONAL em 18/04/2025,"bianatc.adm
FABIANA TAVARES COSTA
ADMINISTRADOR DO SISTEMA",
6,20/01/2025 23:55:35,Juntada de certidão - alteração do prazo - Motivo: FERIADO JUSTIÇA ESTADUAL em 03/03/2025 até 04/03/2025,"bianatc.adm
FABIANA TAVARES COSTA
ADMINISTRADOR DO SISTEMA",
5,11/12/2024 23:59:59,Confirmada a intimação eletrônica - Refer. ao Evento: 4 (EXEQUENTE - MUNICÍPIO DE SARANDI / RS),"SECJE
SISTEMA DE PROCESSO ELETRÔNICO",
4,01/12/2024 06:58:27,Expedida/certificada a intimação eletrônica - Despacho/Decisão Refer. ao Evento 3 (EXEQUENTE - MUNICÍPIO DE SARANDI / RS) Prazo: 90 dias Status:FECHADO (9 - PETIÇÃO) Data inicial da contagem do prazo: 12/12/2024 00:00:00 Data final: 28/05/2025 23:59:59,"arossatto
ANDREIA DOS SANTOS ROSSATTO
MAGISTRADO
Vara Judicial da Comarca de Sarandi",
2,29/11/2024 15:32:49,Conclusos para decisão/despacho,"simonemar
SIMONE MARTINELLI ZANDONA
DIRETOR DE SECRETARIA
Vara Judicial da Comarca de Sarandi",
