Evento,Data/Hora,Descrição,Usuário,Documentos
11.0,17/06/2025 15:46:34,Processo Suspenso ou Sobrestado Por Decisão Judicial,arossattoANDREIA DOS SANTOS ROSSATTOMAGISTRADOVara Judicial da Comarca de Sarandi,"Copiar link para documento:processo 5004125-14.2024.8.21.0069/RS, evento 11, DESPADEC1processo 5004125-14.2024.8.21.0069/RS, evento 11, DOC1evento 11, DESPADEC1evento 11, DOC111.1Fecharprocesso 5004125-14.2024.8.21.0069/RS, evento 11, DESPADEC1processo 5004125-14.2024.8.21.0069/RS, evento 11, DOC1evento 11, DOC111.1evento 11, DESPADEC1DESPADEC1Resumo: SUSPENDO a execução fiscal pelo prazo de 180 dias, nos termos do art. 313, II e § 4º, do CPC, para realização do protesto pelo exequente (providência que é pressuposto para o ajuizamento da execução, nos termos do art. 3º da Resolução n. 547/2024 do CNJ). Lance-se a suspensão no sistema Eproc. Agendada intimação da parte."
11.01,17/06/2025 15:46:34,Processo Suspenso ou Sobrestado Por Decisão Judicial,arossattoANDREIA DOS SANTOS ROSSATTOMAGISTRADOVara Judicial da Comarca de Sarandi,
11.02,17/06/2025 15:46:34,Processo Suspenso ou Sobrestado Por Decisão Judicial,arossattoANDREIA DOS SANTOS ROSSATTOMAGISTRADOVara Judicial da Comarca de Sarandi,
11.03,17/06/2025 15:46:34,Processo Suspenso ou Sobrestado Por Decisão Judicial,arossattoANDREIA DOS SANTOS ROSSATTOMAGISTRADOVara Judicial da Comarca de Sarandi,
11.04,17/06/2025 15:46:34,Processo Suspenso ou Sobrestado Por Decisão Judicial,arossattoANDREIA DOS SANTOS ROSSATTOMAGISTRADOVara Judicial da Comarca de Sarandi,
11.05,17/06/2025 15:46:34,Processo Suspenso ou Sobrestado Por Decisão Judicial,arossattoANDREIA DOS SANTOS ROSSATTOMAGISTRADOVara Judicial da Comarca de Sarandi,
11.06,17/06/2025 15:46:34,Processo Suspenso ou Sobrestado Por Decisão Judicial,arossattoANDREIA DOS SANTOS ROSSATTOMAGISTRADOVara Judicial da Comarca de Sarandi,
11.07,17/06/2025 15:46:34,Processo Suspenso ou Sobrestado Por Decisão Judicial,arossattoANDREIA DOS SANTOS ROSSATTOMAGISTRADOVara Judicial da Comarca de Sarandi,
11.08,17/06/2025 15:46:34,Processo Suspenso ou Sobrestado Por Decisão Judicial,arossattoANDREIA DOS SANTOS ROSSATTOMAGISTRADOVara Judicial da Comarca de Sarandi,
11.09,17/06/2025 15:46:34,Processo Suspenso ou Sobrestado Por Decisão Judicial,arossattoANDREIA DOS SANTOS ROSSATTOMAGISTRADOVara Judicial da Comarca de Sarandi,
11.1,17/06/2025 15:46:34,Processo Suspenso ou Sobrestado Por Decisão Judicial,arossattoANDREIA DOS SANTOS ROSSATTOMAGISTRADOVara Judicial da Comarca de Sarandi,
12.0,17/06/2025 15:46:35,Expedida/certificada a intimação eletrônicaRefer.  ao Evento 11(EXEQUENTE-  MUNICÍPIO DE SARANDI / RS)Prazo: 60 dias Status:AGUARD. ABERTURADomicílio Judicial Eletrônico: Enviado em 17/06/2025 15:55:00,arossattoANDREIA DOS SANTOS ROSSATTOMAGISTRADOVara Judicial da Comarca de Sarandi,
